ID,Created at,Updated at,Label,Description,Form ID,Order,Api name,UUID,Type,Parent ID,Delete Parent ID,Acrofieldlabel,Section ID,Excluded,Partial label,Custom,Show group label,Height,Page,Width,X,Y,Unified field ID,Delete,Hidden,Toggle description
1167577,2024-07-02T18:58:45.754Z,2024-07-02T18:58:45.754Z,I elect to re-register the annuity contract and become the contract owner,"<p class=""ql-align-justify""><strong>Required actions:</strong> Name beneficiaries (in Section 7) and sign (in Section 9 (NY Residents Only) and Section 11)&nbsp;</p><p class=""ql-align-justify""><br></p><p class=""ql-align-justify"">The Annuity Commencement Date (ACD) is the date when annuity payments will begin. When you become the new owner, the date will be changed according to the terms of the contract. If your annuity contract allows, you can change the ACD before payouts begin. We’ll let you know if any action is required.&nbsp;</p><p><br></p>",9978,1,spousal-election_option-1,e500f87e-6fa4-4d18-bcc1-8202594f0281,RadioButton,1167474,Delete Parent ID,spousal-election_option-1,7071,false,spousal-election_option-1,false,false,,,,,,,Delete,false,false
1167578,2024-07-02T18:58:45.754Z,2024-07-02T18:58:45.754Z,I elect to be treated as a beneficiary and will choose a distribution (claim) option,"<p class=""ql-align-justify""><strong>Required actions:</strong> Choose a distribution option (in Section 4)&nbsp;</p><p class=""ql-align-justify""><br></p><p class=""ql-align-justify"">The Internal Revenue Service requires you to make an election by a certain date. If this is a Non-Qualified annuity, this election is only available for 1 year from the date of death. If this is a Qualified annuity, this election is available until 12/31 of the year following the owner’s date of death. If we receive your claim form after the allowable date, we will default to Option 1.&nbsp;</p><p><br></p>",9978,2,spousal-election_option-2,0ae2ea58-0252-4675-a819-256a0d75e654,RadioButton,1167474,Delete Parent ID,spousal-election_option-2,7071,false,spousal-election_option-2,false,false,,,,,,,Delete,false,false
1167474,2024-07-02T18:58:41.704Z,2025-04-29T16:49:24.412Z,"As a SPOUSE of the deceased you have the following two elections available, please choose one",,9978,1,spousal-election--group,d5f178bc-6158-47f9-8b13-6bf49eba4d66,RadioGroup,,Delete Parent ID,spousal-election--group,7071,false,spousal-election--group,false,true,8,0,8,47,232,,Delete,false,false
1167476,2024-07-02T18:58:41.704Z,2025-04-29T16:49:24.412Z,distribution-option_option-3--group,,9978,1,distribution-option_option-3--group,01aa6089-e994-471f-a557-ace82f11284e,RadioGroup,1167579,Delete Parent ID,distribution-option_option-3--group,7073,false,distribution-option_option-3--group,false,false,8,1,8,65,596,,Delete,false,false
1167481,2024-07-02T18:58:41.704Z,2025-04-29T16:49:24.412Z,Required Actions,"<p class=""ql-align-justify"">Select eligibility requirement (above), choose to aggregate or receive payments (below), enter withdrawal frequency &amp; start date (below, if applicable), choose payment method (in Section 5), enter tax withholdings (in Section 6), name beneficiaries (in Section 7) and sign (in Section 9 (NY Residents Only) and Section 11).&nbsp;</p>",9978,3,distribution-option_option-5b-required-actions--group,6cb03eb0-a913-479f-90bd-32663c276f2e,RadioGroup,1167581,Delete Parent ID,distribution-option_option-5b-required-actions--group,7073,false,distribution-option_option-5b-required-actions--group,false,true,8,2,8,74,284,,Delete,false,false
1167482,2024-07-02T18:58:41.704Z,2025-04-29T16:49:24.412Z,Elect Frequency,,9978,2,distribution-option_option-5b-payment-frequency--group,89c4daed-531c-4201-b360-de9ced093686,RadioGroup,1167587,Delete Parent ID,distribution-option_option-5b-payment-frequency--group,7073,false,distribution-option_option-5b-payment-frequency--group,false,false,8,2,8,89,159,,Delete,false,false
1167579,2024-07-02T18:58:45.754Z,2024-07-02T18:58:45.754Z,Select 5-year or 10-year Distribution Option,"<p class=""ql-align-justify"">Claimant will become the Beneficial Owner. Withdrawals may be taken any time during the 5 or 10 year period. To take a one-time or scheduled withdrawal now, please contact us for a distribution form. The contract must be fully liquidated by the end of the 5 or 10 year period (based on your contract type). Nationwide will contact you for distribution instructions prior to the end of your 5 or 10 year term. If you choose an option not available to you, we will default your election to the appropriate option.&nbsp;</p>",9978,1,distribution-option_option-3,b70dbf74-bcb5-4ac7-90da-c6146059ff0c,RadioButton,1167475,Delete Parent ID,distribution-option_option-3,7073,false,distribution-option_option-3,false,false,,,,,,,Delete,false,false
1167581,2024-07-02T18:58:45.754Z,2024-07-02T18:58:45.754Z,Select Life Expetancy Distribution Option,"<p class=""ql-align-justify"">Claimant will become the Beneficial Owner and will receive payments based on the beneficial owner’s life expectancy. See Important Information &amp; Disclosures to review time limits &amp; other details before you make your election.&nbsp;</p>",9978,3,distribution-option_option-5,7d4170a9-1c09-4bbc-8b34-05e8bedafd8d,RadioButton,1167475,Delete Parent ID,distribution-option_option-5,7073,false,distribution-option_option-5,false,false,,,,,,,Delete,false,false
1167585,2024-07-02T18:58:45.754Z,2024-07-02T18:58:45.754Z,10-Year Delayed Distribution Option,"<p class=""ql-align-justify""><strong>IMPORTANT:</strong> If the decedent reached their Required Beginning Date (RBD), the Beneficial Owner must withdraw an amount equal to the decedent’s RMD amount in the year of the decedent’s death. If we’ve notified you that the decedent reached their RBD, please check the box below to authorize this distribution immediately.&nbsp;</p><p><br></p>",9978,3,distribution-option_option-3__qualified-10-year,4892ed90-40ea-4dfe-98a5-6da0b67d63f8,RadioButton,1167476,Delete Parent ID,distribution-option_option-3__qualified-10-year,7073,false,distribution-option_option-3__qualified-10-year,false,false,,,,,,,Delete,false,false
1167587,2024-07-02T18:58:45.754Z,2024-07-02T18:58:45.754Z,For Qualified Contracts,"<p class=""ql-align-justify""><strong>WARNING:</strong> Distributions of the Required Minimum Distribution must be taken at least annually. Any missed or delayed distributions may be subject to a 50% federal tax penalty.&nbsp;</p><p><br></p>",9978,2,distribution-option_option-5__5b-qualified,54198399-137d-4260-ac88-91fc8cac74d8,RadioButton,1167478,Delete Parent ID,distribution-option_option-5__5b-qualified,7073,false,distribution-option_option-5__5b-qualified,false,false,,,,,,,Delete,false,false
