ID,Created at,Updated at,Label,Description,Form ID,Order,Api name,UUID,Type,Parent ID,Delete Parent ID,Acrofieldlabel,Section ID,Excluded,Partial label,Custom,Show group label,Height,Page,Width,X,Y,Unified field ID,Delete,Hidden,Toggle description
5193328,2025-01-20T16:27:57.555Z,2025-04-29T16:49:33.801Z,City,,45329,5,owner_city,b8261961-88cb-4a3c-841a-a7b0b0f34f91,TextField,,Delete Parent ID,owner_city,7937,false,owner_city,false,false,14,0,301,58,581,17,Delete,false,false
5193331,2025-01-20T16:27:57.555Z,2025-04-29T16:49:33.801Z,Phone,"<p>Nationwide strives to provide excellent customer service to our Members. By providing your telephone number, you authorize the Nationwide Family of Companies to contact you via telephone using automated technology to assist you with your account.</p>",45329,8,owner_phone,95353a41-4f0c-4264-9dc6-dcee36d67bc5,TextField,,Delete Parent ID,owner_phone,7937,false,owner_phone,false,false,15,0,147,69,563,9,Delete,false,false
5193330,2025-01-20T16:27:57.555Z,2025-04-29T16:49:33.801Z,ZIP,,45329,7,owner_zip,11639072-575b-4d90-b1be-362184172322,TextField,,Delete Parent ID,owner_zip,7937,false,owner_zip,false,false,14,0,80,496,581,19,Delete,false,false
5193325,2025-01-20T16:27:57.555Z,2025-04-29T16:49:33.801Z,Last Name,,45329,2,owner_last,a68c2c8b-6176-4615-8bbc-96f4d08edca4,TextField,,Delete Parent ID,owner_last,7937,false,owner_last,false,false,14,0,119,276,615,4,Delete,false,false
5193327,2025-01-20T16:27:57.555Z,2025-04-29T16:49:33.801Z,Address,,45329,4,owner_address,ef12d38c-d8b8-469c-b946-cd7fefdef181,TextField,,Delete Parent ID,owner_address,7937,false,owner_address,false,false,14,0,498,77,598,16,Delete,false,false
5193332,2025-01-20T16:27:57.555Z,2025-04-29T16:49:33.801Z,Email,,45329,9,owner_email,9f9405c3-d405-4b69-b90c-5eb4731308b2,TextField,,Delete Parent ID,owner_email,7937,false,owner_email,false,false,13,0,322,253,563,10,Delete,false,false
5193324,2025-01-20T16:27:57.555Z,2025-04-29T16:49:33.801Z,First Name,,45329,1,owner_first,267c3d35-d26f-453b-abfc-7e009e426d88,TextField,,Delete Parent ID,owner_first,7937,false,owner_first,false,false,14,0,126,89,615,3,Delete,false,false
5193329,2025-01-20T16:27:57.555Z,2025-04-29T16:49:33.801Z,State,,45329,6,owner_state,551e5958-5338-457b-92a7-2abfcbb52c2e,TextField,,Delete Parent ID,owner_state,7937,false,owner_state,false,false,14,0,71,396,581,18,Delete,false,false
5193326,2025-01-20T16:27:57.555Z,2025-04-29T16:49:33.801Z,Contract Number,,45329,3,owner_contract,415b2eef-16fe-43d5-843f-0abc4f74ded3,TextField,,Delete Parent ID,owner_contract,7937,false,owner_contract,false,false,14,0,89,486,615,8,Delete,false,false
5193333,2025-01-20T16:27:57.555Z,2025-04-29T16:49:33.801Z,Reasons for Submission,,45329,1,reason--group,46a73bda-b9d1-48fb-9371-54216eec7ec6,RadioGroup,,Delete Parent ID,reason--group,7938,false,reason--group,false,false,8,0,8,35,475,786,Delete,false,false
5193370,2025-01-20T16:27:58.998Z,2025-01-20T16:27:58.998Z,Enter the Income Phase and set up new withdrawal,"<p>This will terminate any existing scheduled withdrawals, including Required Minimum Distributions, if any exist.</p><p><br></p><p><strong>IMPORTANT:</strong> When making this election, your income phase entry date will be the business day this form is received by Nationwide in good order with the exception for those requests with a specified start date that’s beyond the next contract anniversary. This date will lock in your payout percentage and stops the Minimum Income Benefit Value calculation (stops Minimum Income Benefit Credit Rate). The election will be processed if it is received before the close of the New York Stock Exchange (NYSE), generally 4:00 p.m. EST. If received after the close of the NYSE, this request will be processed the next business day.</p>",45329,1,reason_income,781e91f9-82e2-48a6-b64d-cec8b5776fec,RadioButton,5193333,Delete Parent ID,reason_income,7938,false,reason_income,false,false,,,,,,790,Delete,false,true
5193371,2025-01-20T16:27:58.998Z,2025-01-20T16:27:58.998Z,Replace or change existing withdrawal,,45329,2,reason_replace,4343a551-4e57-4109-a546-4d2ccac70f1f,RadioButton,5193333,Delete Parent ID,reason_replace,7938,false,reason_replace,false,false,,,,,,791,Delete,false,false
