ID,Created at,Updated at,Label,Description,Form ID,Order,Api name,UUID,Type,Parent ID,Delete Parent ID,Acrofieldlabel,Section ID,Excluded,Partial label,Custom,Show group label,Height,Page,Width,X,Y,Unified field ID,Delete,Hidden,Toggle description
6727402,2025-05-01T20:03:45.596Z,2025-05-01T20:03:45.596Z,ZIP,,52473,11,primary_ent1__zip,a3f4fc51-0b51-44dc-b860-b7f5c20b0ac1,TextField,,Delete Parent ID,primary_ent1__zip,8227,false,primary_ent1__zip,false,false,,,,,,158,Delete,false,false
6727390,2025-05-01T20:03:45.596Z,2025-05-01T20:03:45.596Z,Entity 1 Types,,52473,1,primary_ent1--group,56936884-8625-42d1-9f39-74e70b68b755,RadioGroup,,Delete Parent ID,primary_ent1--group,8227,false,primary_ent1--group,false,false,,,,,,166,Delete,false,false
6727544,2025-05-01T20:03:51.674Z,2025-05-01T20:03:51.674Z,Creditor,,52473,3,primary_ent2__creditor,2ef5eea6-9d48-446f-b72f-d10b52c3e0cd,RadioButton,6727405,Delete Parent ID,primary_ent2__creditor,8227,false,primary_ent2__creditor,false,false,,,,,,288,Delete,false,false
6727542,2025-05-01T20:03:51.674Z,2025-05-01T20:03:51.674Z,Estate,,52473,1,primary_ent2__estate,50dc06f9-3829-4286-892a-bfac17cc8a78,RadioButton,6727405,Delete Parent ID,primary_ent2__estate,8227,false,primary_ent2__estate,false,false,,,,,,191,Delete,false,false
6727546,2025-05-01T20:03:51.674Z,2025-05-01T20:03:51.674Z,Other,,52473,5,primary_ent2__other,0d5e96e9-d7bf-4ce6-a689-8cc6c3efec44,RadioButton,6727405,Delete Parent ID,primary_ent2__other,8227,false,primary_ent2__other,false,false,,,,,,193,Delete,false,false
6727543,2025-05-01T20:03:51.674Z,2025-05-01T20:03:51.674Z,Trust,,52473,2,primary_ent2__trust,45bfab92-1db5-4089-bddd-91e86e84e595,RadioButton,6727405,Delete Parent ID,primary_ent2__trust,8227,false,primary_ent2__trust,false,false,,,,,,192,Delete,false,false
6727416,2025-05-01T20:03:45.596Z,2025-05-01T20:03:45.596Z,ZIP,,52473,11,primary_ent2__zip,81fd49d3-c2fc-4176-b97d-e2228df232fb,TextField,,Delete Parent ID,primary_ent2__zip,8227,false,primary_ent2__zip,false,false,,,,,,79,Delete,false,false
6727405,2025-05-01T20:03:45.596Z,2025-05-01T20:03:45.596Z,Entity 2 Type,,52473,1,primary_ent2--group,c303d62c-344f-4f16-812b-993535d14d77,RadioGroup,,Delete Parent ID,primary_ent2--group,8227,false,primary_ent2--group,false,false,,,,,,167,Delete,false,false
6727424,2025-05-01T20:03:45.596Z,2025-05-01T20:03:45.596Z,Allocation,,52473,5,primary_ent3__allocation,9e0cf814-4b98-47f4-94b1-2bc32eba3314,TextField,,Delete Parent ID,primary_ent3__allocation,8227,false,primary_ent3__allocation,false,false,,,,,,82,Delete,false,false
6727428,2025-05-01T20:03:45.596Z,2025-05-01T20:03:45.596Z,City,,52473,9,primary_ent3__city,33272a80-b222-4462-90d1-01509710f3d3,TextField,,Delete Parent ID,primary_ent3__city,8227,false,primary_ent3__city,false,false,,,,,,87,Delete,false,false
