ID,Created at,Updated at,Label,Description,Form ID,Order,Api name,UUID,Type,Parent ID,Delete Parent ID,Acrofieldlabel,Section ID,Excluded,Partial label,Custom,Show group label,Height,Page,Width,X,Y,Unified field ID,Delete,Hidden,Toggle description
5237660,2025-01-23T17:35:41.604Z,2025-01-24T09:04:56.331Z,City,,45514,5,personal-information_city,446b07e2-49e4-411c-8376-95e41417fa19,TextField,,Delete Parent ID,personal-information_city,7969,false,personal-information_city,false,false,14,0,267,36,635,17,Delete,false,false
5237656,2025-01-23T17:35:41.604Z,2025-01-24T09:04:56.331Z,First Name and Middle Initial,,45514,1,personal-information_first-name-mi,855f2cca-f4e4-42b1-9654-7e0790e84e39,TextField,,Delete Parent ID,personal-information_first-name-MI,7969,false,personal-information_first-name-MI,false,false,14,0,215,36,683,3,Delete,false,false
5237657,2025-01-23T17:35:41.604Z,2025-01-24T09:04:56.331Z,Last Name,,45514,2,personal-information_last-name,6150fa47-34ce-42ae-a8e4-bbaaabf6c812,TextField,,Delete Parent ID,personal-information_last-name,7969,false,personal-information_last-name,false,false,14,0,214,253,683,4,Delete,false,false
5237658,2025-01-23T17:35:41.604Z,2025-01-24T09:04:56.331Z,Social Security Number,,45514,3,personal-information_ssn,d5a78484-e710-4c44-97ea-442c152d9417,TextField,,Delete Parent ID,personal-information_SSN,7969,false,personal-information_SSN,false,false,14,0,107,469,683,6,Delete,false,false
5237659,2025-01-23T17:35:41.604Z,2025-01-24T09:04:56.331Z,Address,,45514,4,personal-information_address,a053a1da-53b7-4871-bdbf-707fb247c287,TextField,,Delete Parent ID,personal-information_address,7969,false,personal-information_address,false,false,14,0,540,36,659,16,Delete,false,false
5237662,2025-01-23T17:35:41.604Z,2025-01-24T09:04:56.331Z,State,,45514,6,personal-information_state,f4c5213b-e971-4b26-8587-96113fa79d8e,TextField,,Delete Parent ID,personal-information_state,7969,false,personal-information_state,false,false,14,0,134,305,635,18,Delete,false,false
5237663,2025-01-23T17:35:41.604Z,2025-01-24T09:04:56.331Z,ZIP,,45514,7,personal-information_zip,3b3fecb4-a568-4268-91c0-86715cb03378,TextField,,Delete Parent ID,personal-information_ZIP,7969,false,personal-information_ZIP,false,false,13,0,138,441,636,19,Delete,false,false
5237665,2025-01-23T17:35:41.604Z,2025-01-24T09:04:56.331Z,Date,,45514,2,sign-here_date,0fb490dc-b3e8-4f24-bfc3-d24734041ced,SignatureDate,5237664,Delete Parent ID,sign-here_date,7970,false,sign-here_date,false,false,21,0,131,445,476,,Delete,false,false
5237664,2025-01-23T17:35:41.604Z,2025-01-24T09:04:56.331Z,Signature,,45514,1,sign-here_signature,ee6ba85f-a469-4ebf-a2f9-cf2c1c665351,Signature,,Delete Parent ID,sign-here_signature,7970,false,sign-here_signature,false,false,21,0,362,71,476,,Delete,false,false
5237661,2025-01-23T17:35:41.604Z,2025-01-24T09:04:56.331Z,Rate of Withholding,,45514,1,personal-information_rate-of-withholding,132a8a88-23dd-4abe-bec2-8188a56491a9,TextField,,Delete Parent ID,personal-information_rate-of-withholding,7971,false,personal-information_rate-of-withholding,false,false,11,0,57,504,509,221,Delete,false,false
